Symbol,Date,Open,High,Low,Close,Volume
KSE-ALL,03-Jun-2020,24762.64,24819.76,24661.27,24677.11,129950584
KSE-ALL,04-Jun-2020,24669.42,24673.80,24441.95,24469.55,143640671
KSE-ALL,05-Jun-2020,24477.65,24629.05,24447.30,24614.02,89128637
KSE-ALL,08-Jun-2020,24764.52,24879.54,24764.52,24851.95,222416007
KSE-ALL,09-Jun-2020,24860.13,24907.24,24794.69,24852.30,238268319
KSE-ALL,10-Jun-2020,24863.55,25025.09,24852.31,24997.64,218631644
KSE-ALL,11-Jun-2020,25026.74,25092.60,24926.48,25010.53,270627954
KSE-ALL,12-Jun-2020,24832.16,24832.16,24662.90,24703.29,177883469
KSE-ALL,15-Jun-2020,24672.93,24672.93,24220.81,24223.28,262819023
KSE-ALL,16-Jun-2020,24272.24,24434.20,24243.80,24373.34,217920149
KSE-ALL,17-Jun-2020,24414.29,24637.82,24273.52,24339.00,340836700
KSE-ALL,18-Jun-2020,24340.81,24384.33,24088.78,24125.23,216218176
KSE-ALL,19-Jun-2020,24161.11,24217.04,24036.45,24072.22,105890521
KSE-ALL,22-Jun-2020,24108.79,24271.18,23834.76,24246.41,161289527
KSE-ALL,23-Jun-2020,24297.13,24420.70,24273.72,24401.25,160629870
KSE-ALL,24-Jun-2020,24406.42,24445.57,24301.37,24391.24,195734274
KSE-ALL,25-Jun-2020,24324.74,24333.95,24126.02,24173.16,168424461
KSE-ALL,26-Jun-2020,24332.14,24349.70,24214.66,24254.22,198187551
KSE-ALL,29-Jun-2020,24290.66,24516.95,24156.32,24510.83,156670750
KSE-ALL,30-Jun-2020,24531.36,24699.82,24474.37,24660.31,223159558
KSE-ALL,01-Jul-2020,24680.37,24996.90,24669.91,24959.44,315035920
KSE-ALL,02-Jul-2020,25010.63,25155.47,25010.58,25047.63,383083588
KSE-ALL,03-Jul-2020,25077.32,25116.57,25019.44,25087.02,175760298
KSE-ALL,06-Jul-2020,25137.91,25261.66,25119.75,25249.79,332249125
KSE-ALL,07-Jul-2020,25285.67,25388.40,25213.81,25361.31,333874743
KSE-ALL,08-Jul-2020,25402.40,25584.24,25402.40,25562.78,317681371
KSE-ALL,09-Jul-2020,25645.79,25841.52,25634.89,25815.29,467481111
KSE-ALL,10-Jul-2020,25789.14,25882.34,25744.39,25841.82,292700075
KSE-ALL,13-Jul-2020,25920.23,26131.52,25919.57,26089.11,468879802
KSE-ALL,14-Jul-2020,26113.63,26287.39,26048.03,26157.20,466243316
KSE-ALL,15-Jul-2020,26232.36,26285.85,26139.48,26189.08,328368401
KSE-ALL,16-Jul-2020,26257.82,26484.66,26254.44,26461.91,402553774
KSE-ALL,17-Jul-2020,26505.29,26751.08,26505.29,26741.21,466040521
KSE-ALL,20-Jul-2020,26833.17,26983.27,26832.97,26885.96,553814736
KSE-ALL,21-Jul-2020,26941.46,26976.62,26701.57,26845.38,457210709
KSE-ALL,22-Jul-2020,26892.48,27009.82,26756.09,26902.11,405508815
KSE-ALL,23-Jul-2020,26982.44,27099.80,26742.79,26762.56,379279925
KSE-ALL,24-Jul-2020,26744.42,26827.70,26575.31,26719.32,266527768
KSE-ALL,27-Jul-2020,26744.30,27077.81,26718.34,27028.37,288095631
KSE-ALL,28-Jul-2020,27106.18,27292.40,27101.25,27253.42,394277849
KSE-ALL,29-Jul-2020,27325.29,27525.94,27251.26,27336.53,508223808
KSE-ALL,30-Jul-2020,27363.13,27563.07,27265.54,27559.26,368698295
KSE-ALL,03-Aug-2020,27620.15,27934.71,27620.15,27896.15,539315249
KSE-ALL,04-Aug-2020,27953.69,28090.94,27620.28,27655.81,593981521
KSE-ALL,05-Aug-2020,27700.11,27842.29,27571.88,27813.51,501934551
KSE-ALL,06-Aug-2020,27917.34,28133.72,27879.17,28073.68,826774981
KSE-ALL,07-Aug-2020,28125.86,28285.17,28008.58,28042.92,728738595
KSE-ALL,10-Aug-2020,28118.22,28165.80,27954.45,27993.36,576544657
KSE-ALL,11-Aug-2020,28054.80,28444.79,28054.80,28347.69,600038729
KSE-ALL,12-Aug-2020,28470.18,28592.72,28164.14,28221.08,591114581
KSE-ALL,13-Aug-2020,28250.91,28267.13,27922.53,28134.26,556089651
KSE-ALL,17-Aug-2020,28188.47,28259.04,28078.27,28199.20,522612249
KSE-ALL,18-Aug-2020,28311.16,28364.81,28201.72,28232.90,458798401
KSE-ALL,19-Aug-2020,28268.84,28373.38,28183.49,28221.84,427189041
KSE-ALL,20-Aug-2020,28235.77,28275.27,28008.25,28075.02,394617870
KSE-ALL,21-Aug-2020,28056.53,28056.53,27673.41,27858.64,400478316
KSE-ALL,24-Aug-2020,27876.00,27965.65,27708.16,27930.89,371692721
KSE-ALL,25-Aug-2020,28016.07,28307.11,28016.07,28266.28,535043153
KSE-ALL,26-Aug-2020,28335.23,28582.66,28322.25,28565.37,507951937
KSE-ALL,27-Aug-2020,28630.93,28855.35,28630.93,28777.36,544632700
KSE-ALL,28-Aug-2020,28779.56,28873.39,28749.85,28807.84,238566769
KSE-ALL,31-Aug-2020,28876.90,29079.31,28876.90,28960.99,451733992
KSE-ALL,01-Sep-2020,29010.64,29150.46,28890.25,29122.86,759358325
KSE-ALL,02-Sep-2020,29224.33,29506.07,29224.33,29477.19,837019396
KSE-ALL,03-Sep-2020,29568.12,29803.84,29568.12,29780.50,919445486
KSE-ALL,04-Sep-2020,29763.85,29836.54,29641.88,29748.90,758076861
KSE-ALL,07-Sep-2020,29813.86,30040.22,29789.09,29962.82,748893769
KSE-ALL,08-Sep-2020,30039.82,30105.28,29726.09,29796.30,884364174
KSE-ALL,09-Sep-2020,29743.65,29948.30,29569.89,29862.56,707012027
KSE-ALL,10-Sep-2020,30003.19,30518.10,30003.19,30380.36,884940929
KSE-ALL,11-Sep-2020,30447.69,30531.85,30207.87,30246.21,526175254
KSE-ALL,14-Sep-2020,30310.35,30369.72,30146.74,30232.66,509518330
KSE-ALL,15-Sep-2020,30290.26,30448.00,30114.15,30159.46,662797128
KSE-ALL,16-Sep-2020,30223.54,30294.21,29944.46,30042.16,489600391
KSE-ALL,17-Sep-2020,30151.12,30259.19,30051.09,30065.22,508691857
KSE-ALL,18-Sep-2020,30107.84,30205.07,30043.04,30167.00,516126248
